sample,timestamp,tag_01,tag_02,tag_03,tag_04,tag_05,tag_06,tag_07,tag_08,tag_09,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52
1,2026-04-26T23:00:00,50.11,25.443,26.528,32.56,41.733,2711.5,3650.4,21.26,18.813,21.802,0.26155,0.092072,340.33,77.388,6.8186,13.713,32.025,4594.1,21.637,46.789,49.019,80.024,2.3184,1.6286,3110.4,42.279,53.524,94.652,9.2972,64.581,35.213,38.639,2640.6,62.341,27.11,46.749,0.32257,8.8087,26.756,120.42,1.1122,75.671,24.61,2.3665,53.036,4.7886,229.34,0.024785,0.81058,65.615,18.494,44.686
2,2026-04-26T23:03:00,51.713,24.786,27.188,32.291,41.042,2715.7,3646.9,16.325,18.918,22.427,0.25531,0.088537,340.56,77.784,6.8916,13.811,31.791,4529.8,23.698,50.497,51.397,80.277,2.2784,1.636,3112.6,42.091,54.559,94.624,9.366,61.074,42.213,38.807,2644.7,63.929,23.105,46.542,0.32342,8.9416,26.619,120.42,1.2904,75.637,24.504,2.2376,54.147,4.8068,227.66,0.0056897,0.84193,65.611,18.659,44.313
3,2026-04-26T23:06:00,50.356,24.808,27.08,32.291,41.208,2713.4,3674.6,17.38,18.918,21.835,0.25508,0.088537,339.59,77.004,6.8916,13.811,31.791,4557.3,23.268,47.357,50.012,80.23,2.2784,1.636,3114.0,42.161,54.229,94.478,9.4159,62.047,38.134,38.748,2642.1,63.452,25.299,46.292,0.32391,8.9416,26.619,120.42,1.2904,76.456,24.504,2.2376,54.147,4.8068,227.08,0.0056897,0.84193,65.664,18.659,44.313
4,2026-04-26T23:09:00,51.076,27.487,26.765,32.254,40.791,2710.5,3650.7,17.318,18.359,21.84,0.27888,0.088537,340.2,77.338,6.7535,13.915,31.563,4550.1,23.294,49.025,50.67,79.918,2.2792,1.6395,3109.5,42.395,53.944,94.659,9.291,62.111,40.073,39.746,2638.8,63.248,23.002,46.125,0.33643,8.9546,26.739,120.41,1.327,75.086,24.099,2.2815,54.147,4.8459,225.63,0.0056897,0.84193,65.611,18.789,44.313
5,2026-04-26T23:12:00,49.417,27.329,27.018,32.254,41.056,2709.6,3635.2,17.743,18.359,21.697,0.28048,0.088537,339.87,76.862,6.7535,13.915,31.563,4545.6,23.129,45.185,51.721,79.92,2.2792,1.6395,3109.7,42.568,53.998,94.495,9.2883,59.529,43.164,39.84,2637.6,63.515,25.082,45.85,0.33566,8.9546,26.739,120.4,1.327,75.304,24.099,2.2815,54.147,4.8459,225.44,0.0056897,0.84193,65.532,18.789,44.313
6,2026-04-26T23:15:00,49.541,30.263,26.907,32.87,41.539,2709.4,3701.7,17.685,18.805,22.093,0.30539,0.088537,339.85,77.223,6.8691,13.742,31.55,4516.8,23.149,45.473,49.308,79.914,2.2171,1.6426,3108.9,42.384,54.033,94.692,9.2041,61.912,36.064,41.101,2638.0,63.638,25.179,45.754,0.34858,9.0009,26.817,120.42,1.1382,74.562,24.216,2.3968,54.147,4.8167,223.27,0.0056897,0.84193,65.462,19.121,44.313
7,2026-04-26T23:18:00,51.942,30.056,26.946,32.87,41.437,2709.5,3690.6,15.619,18.805,21.823,0.30749,0.092462,340.13,77.28,6.8691,13.742,31.55,4539.5,24.018,51.027,49.361,79.96,2.2171,1.6426,3108.7,42.62,53.762,94.383,9.2596,62.493,36.219,41.102,2637.8,63.829,26.197,45.915,0.34857,9.0009,26.817,120.42,1.1382,74.674,24.216,2.3968,53.795,4.8167,227.03,0.0019074,0.85674,65.445,19.121,43.698
8,2026-04-26T23:21:00,48.889,30.937,26.703,32.977,41.664,2708.5,3671.7,20.24,18.795,21.702,0.31431,0.092462,339.82,77.041,6.9639,13.874,31.616,4453.9,22.078,43.962,50.443,79.996,2.2383,1.6785,3108.3,42.488,53.94,94.654,9.3762,60.841,39.403,38.996,2637.0,63.207,24.068,46.039,0.3281,8.8054,26.668,120.4,1.1339,75.219,24.808,2.2502,53.795,4.8997,226.2,0.0019074,0.85674,65.468,18.722,43.698
9,2026-04-26T23:24:00,50.046,31.048,27.228,32.977,40.993,2707.8,3653.9,18.292,18.795,22.112,0.31318,0.092462,340.59,76.879,6.9639,13.874,31.616,4469.6,22.915,46.64,48.631,79.776,2.2383,1.6785,3106.5,42.536,53.752,94.52,9.4336,58.331,34.072,39.176,2635.8,63.513,25.866,46.128,0.32661,8.8054,26.668,120.39,1.1339,74.882,24.808,2.2502,53.795,4.8997,225.81,0.0019074,0.85674,65.431,18.722,43.698
10,2026-04-26T23:27:00,49.204,31.049,26.872,32.886,41.076,2708.0,3668.7,15.673,19.063,21.968,0.31283,0.092462,340.98,77.338,7.0041,13.775,32.094,4506.8,24.01,44.692,50.115,79.829,2.2453,1.6794,3105.6,42.463,54.261,94.72,9.4319,58.191,38.438,40.794,2636.1,62.394,25.782,45.878,0.34215,8.8239,26.254,120.42,1.2523,74.562,24.357,2.3293,53.795,4.8136,229.23,0.0019074,0.85674,65.389,18.789,43.698
11,2026-04-26T23:30:00,50.413,30.967,27.115,32.886,40.981,2710.5,3625.8,19.093,19.063,22.557,0.31367,0.092462,341.27,77.338,7.0041,13.775,32.094,4555.7,22.563,47.489,49.639,80.097,2.2453,1.6794,3107.4,42.514,53.676,94.566,9.2985,62.721,37.038,40.597,2639.4,63.132,26.338,46.304,0.34377,8.8239,26.254,120.4,1.2523,75.179,24.357,2.3293,53.795,4.8136,225.02,0.0019074,0.85674,65.425,18.789,43.698
12,2026-04-26T23:33:00,49.757,26.855,26.713,32.891,41.001,2711.6,3617.9,18.296,18.703,22.753,0.27009,0.10187,341.28,77.609,6.8561,13.805,32.044,4536.3,22.883,45.971,49.177,80.293,2.2664,1.649,3107.6,42.18,53.749,94.574,9.225,60.359,35.677,39.695,2641.2,62.82,24.607,46.439,0.32932,8.7462,26.644,120.4,1.1891,75.183,24.61,2.1869,54.397,4.8075,228.55,0.026155,0.84885,65.522,18.648,43.779
13,2026-04-26T23:36:00,48.266,26.555,26.872,32.891,41.433,2712.4,3656.0,19.501,18.703,22.835,0.27314,0.10187,341.21,77.433,6.8561,13.805,32.044,4488.9,22.369,42.522,50.227,80.351,2.2664,1.649,3106.9,42.294,54.316,94.683,9.3029,61.514,38.767,39.571,2642.1,62.163,25.425,46.765,0.33033,8.7462,26.644,120.39,1.1891,75.633,24.61,2.1869,54.397,4.8075,227.33,0.026155,0.84885,65.599,18.648,43.779
14,2026-04-26T23:39:00,47.605,27.363,26.843,33.238,40.903,2709.1,3688.0,18.215,18.342,22.344,0.27695,0.10187,341.12,76.572,6.8417,13.697,32.219,4502.9,22.939,40.992,49.796,80.051,2.2611,1.6598,3104.9,42.303,54.503,94.55,9.2498,61.901,37.499,39.876,2637.3,62.865,24.506,46.779,0.33414,8.7847,26.35,120.4,1.232,74.727,24.166,2.3474,54.397,4.8041,229.6,0.026155,0.84885,65.643,18.41,43.779
15,2026-04-26T23:42:00,49.037,27.246,26.82,33.238,41.455,2703.7,3707.7,20.599,18.342,21.754,0.27813,0.10187,340.84,76.887,6.8417,13.697,32.219,4548.3,21.946,44.304,47.71,79.596,2.2611,1.6598,3102.2,42.14,53.96,94.781,9.3195,61.715,31.361,40.031,2631.8,62.527,24.251,47.048,0.33287,8.7847,26.35,120.41,1.232,75.915,24.166,2.3474,54.397,4.8041,229.12,0.026155,0.84885,65.56,18.41,43.779
16,2026-04-26T23:45:00,52.121,25.871,26.725,32.722,39.694,2702.6,3705.0,17.732,18.855,21.907,0.25957,0.10187,340.97,76.931,6.6773,13.725,32.063,4568.7,23.166,51.442,49.795,79.52,2.2853,1.647,3099.9,42.418,54.341,94.633,9.4228,59.544,37.496,38.292,2631.1,62.73,25.667,47.302,0.32239,8.7678,26.709,120.37,1.1154,75.261,24.438,2.3322,54.397,4.8889,228.85,0.026155,0.84885,65.466,18.94,43.779
17,2026-04-26T23:48:00,48.261,25.511,27.127,32.722,40.859,2706.4,3660.0,20.158,18.855,22.472,0.26323,0.095937,340.88,77.466,6.6773,13.725,32.063,4528.9,22.126,42.51,51.537,79.981,2.2853,1.647,3103.1,42.09,54.817,94.661,9.1887,60.687,42.622,38.149,2635.4,63.504,26.154,47.249,0.32356,8.7678,26.709,120.38,1.1154,75.195,24.438,2.3322,53.608,4.8889,230.09,0.035814,0.85902,65.454,18.94,43.536
18,2026-04-26T23:51:00,49.111,27.165,27.296,32.882,41.6,2706.0,3737.1,17.72,18.682,22.007,0.2775,0.095937,340.64,77.056,6.8087,13.671,32.368,4518.2,23.159,44.476,49.946,80.096,2.2511,1.6383,3105.2,42.563,53.664,94.409,9.2255,60.877,37.942,38.356,2633.9,63.736,24.298,47.566,0.32671,8.7097,26.309,120.43,1.345,75.275,23.962,2.2652,53.608,4.7975,228.14,0.035814,0.85902,65.57,18.978,43.536
19,2026-04-26T23:54:00,48.58,27.224,26.584,32.882,41.754,2705.2,3730.0,19.617,18.682,22.063,0.27691,0.095937,340.76,77.32,6.8087,13.671,32.368,4509.0,22.347,43.247,47.918,80.149,2.2511,1.6383,3103.0,42.51,53.773,94.445,9.2815,62.61,31.974,38.636,2634.2,63.858,25.738,47.585,0.32441,8.7097,26.309,120.41,1.345,75.013,23.962,2.2652,53.608,4.7975,229.5,0.035814,0.85902,65.64,18.978,43.536
20,2026-04-26T23:57:00,50.6,24.555,26.962,32.492,41.253,2703.8,3663.2,18.384,18.947,22.203,0.24445,0.095937,340.44,77.592,6.9461,13.795,32.179,4498.3,22.853,47.922,50.141,80.317,2.2691,1.6656,3100.7,41.894,53.775,94.423,9.2327,60.983,38.514,38.097,2632.4,63.986,22.911,47.751,0.31549,8.8583,26.571,120.4,1.2122,75.753,24.183,2.252,53.608,4.7943,229.22,0.035814,0.85902,65.738,18.771,43.536
21,2026-04-27T00:00:00,50.593,24.214,27.059,32.492,41.555,2699.7,3659.8,16.372,18.947,21.879,0.24791,0.095937,340.25,77.065,6.9461,13.795,32.179,4522.3,23.715,47.907,50.237,80.188,2.2691,1.6656,3097.9,42.196,53.489,94.468,9.2763,58.473,38.798,37.649,2628.6,64.043,24.295,47.795,0.31916,8.8583,26.571,120.39,1.2122,75.259,24.183,2.252,53.608,4.7943,230.23,0.035814,0.85902,65.801,18.771,43.536
