sample,timestamp,tag_01,tag_02,tag_03,tag_04,tag_05,tag_06,tag_07,tag_08,tag_09,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52
1,2026-04-28T00:00:00,49.969,26.603,26.833,32.589,41.511,2704.2,3656.5,17.48,18.963,22.327,0.27127,0.10668,341.14,77.364,6.9812,13.858,31.646,4526.1,23.223,46.463,50.927,79.942,2.2285,1.7066,3101.4,42.265,53.627,94.567,9.2737,63.109,40.827,41.506,2632.2,62.802,23.888,47.782,0.34873,8.9402,26.487,120.42,1.3057,74.907,24.027,2.3747,53.904,4.855,232.23,0.016262,0.84421,65.74,19.26,44.025
2,2026-04-28T00:03:00,49.064,29.763,26.917,32.849,40.59,2705.8,3615.5,17.564,18.718,22.15,0.30419,0.10668,341.87,77.467,6.8179,13.817,32.051,4451.8,23.184,44.367,49.73,80.014,2.2128,1.6775,3103.8,42.108,53.367,94.75,9.2764,62.184,37.306,41.056,2634.7,62.923,25.573,47.785,0.34133,9.0099,26.615,120.4,1.1736,74.446,23.731,2.379,53.904,4.8989,230.89,0.016262,0.84421,65.721,18.486,44.025
3,2026-04-28T00:06:00,52.672,29.706,26.649,32.849,41.252,2709.6,3659.8,17.541,18.718,22.109,0.30477,0.10668,341.39,77.745,6.8179,13.817,32.051,4446.9,23.182,52.717,49.669,80.177,2.2128,1.6775,3107.4,42.285,53.426,94.614,9.4519,61.318,37.126,40.518,2637.6,62.16,25.634,47.602,0.34574,9.0099,26.615,120.41,1.1736,74.845,23.731,2.379,53.904,4.8989,231.64,0.016262,0.84421,65.732,18.486,44.025
4,2026-04-28T00:09:00,50.119,26.303,26.852,32.479,40.976,2712.7,3648.5,17.206,18.453,22.652,0.26796,0.10668,342.07,77.807,6.988,13.819,32.55,4534.4,23.307,46.809,49.057,80.382,2.2344,1.6592,3108.7,42.207,54.261,94.574,9.3492,63.399,35.324,40.473,2642.5,63.771,23.017,47.57,0.33726,9.1545,26.317,120.44,1.2992,75.618,23.725,2.2883,53.904,4.8971,230.63,0.016262,0.84421,65.774,18.41,44.025
5,2026-04-28T00:12:00,49.784,26.422,26.85,32.479,42.016,2711.8,3675.1,18.461,18.453,21.954,0.26675,0.093026,341.74,77.482,6.988,13.819,32.55,4545.1,22.779,46.034,48.985,80.322,2.2344,1.6592,3111.6,42.713,54.132,94.425,9.2675,62.45,35.112,40.189,2640.7,63.313,23.898,47.766,0.33958,9.1545,26.317,120.41,1.2992,74.623,23.725,2.2883,53.978,4.8971,232.68,0.033856,0.83654,65.856,18.41,44.208
6,2026-04-28T00:15:00,50.192,21.309,26.961,33.077,39.764,2709.0,3655.6,18.864,18.717,22.359,0.21985,0.093026,342.07,76.812,6.8526,13.741,32.476,4535.0,22.636,46.979,50.434,79.996,2.2415,1.6525,3105.3,42.427,54.495,94.622,9.2923,61.861,39.376,40.103,2637.9,62.136,23.684,48.038,0.34075,8.9552,26.724,120.36,1.2399,75.427,23.754,2.2462,53.978,4.8345,230.72,0.033856,0.83654,65.849,18.9,44.208
7,2026-04-28T00:18:00,50.283,21.612,27.032,33.077,41.667,2709.4,3600.8,18.927,18.717,22.768,0.21677,0.093026,342.75,77.466,6.8526,13.741,32.476,4588.4,22.596,47.19,49.623,79.921,2.2415,1.6525,3105.6,42.138,53.856,94.653,9.3861,60.953,36.991,39.837,2638.7,63.079,25.829,47.991,0.34293,8.9552,26.724,120.4,1.2399,74.235,23.754,2.2462,53.978,4.8345,232.42,0.033856,0.83654,65.752,18.9,44.208
8,2026-04-28T00:21:00,48.182,21.811,26.609,32.917,40.596,2710.6,3666.8,19.278,18.349,22.51,0.2223,0.093026,342.53,77.252,7.0006,13.84,32.092,4472.6,22.451,42.326,49.836,80.058,2.2733,1.645,3106.1,42.726,54.059,94.54,9.3568,59.927,37.616,39.133,2639.7,63.095,25.403,47.927,0.33106,8.852,26.665,120.39,1.2717,74.406,24.122,2.3248,53.978,4.8398,234.28,0.033856,0.83654,65.76,19.013,44.208
9,2026-04-28T00:24:00,51.02,21.827,26.934,32.917,41.87,2709.1,3643.2,19.637,18.349,22.701,0.22215,0.093026,342.34,76.887,7.0006,13.84,32.092,4481.6,22.321,48.896,50.412,79.838,2.2733,1.645,3104.3,41.995,53.951,94.703,9.3984,61.723,39.313,39.133,2638.6,63.502,26.328,47.938,0.33105,8.852,26.665,120.43,1.2717,75.246,24.122,2.3248,53.978,4.8398,235.3,0.033856,0.83654,65.705,19.013,44.208
10,2026-04-28T00:27:00,49.966,25.225,26.716,33.102,40.8,2709.5,3614.8,17.329,18.12,22.534,0.26002,0.097628,342.66,77.405,6.7737,13.725,32.792,4460.5,23.283,46.454,50.458,79.791,2.3107,1.6668,3104.2,42.141,53.898,94.55,9.2983,62.492,39.448,40.543,2637.9,62.651,27.089,47.912,0.34089,8.7876,26.716,120.37,1.1468,73.778,24.207,2.2158,53.671,4.7698,234.68,0.022542,0.8329,65.685,18.446,44.017
