sample,timestamp,tag_01,tag_02,tag_03,tag_04,tag_05,tag_06,tag_07,tag_08,tag_09,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52
1,2026-04-28T07:00:00,50.618,20.736,27.28,33.21,40.734,2708.0,3718.5,19.763,17.816,22.775,0.21225,0.0909,343.05,76.835,6.8309,13.849,31.609,4555.9,22.252,47.964,49.791,79.892,2.2414,1.6387,3103.2,42.483,54.063,94.611,9.3458,62.468,37.485,41.286,2636.9,63.563,24.683,46.539,0.34461,8.8937,26.591,120.38,1.0659,74.371,24.145,2.321,53.131,4.9075,225.67,0.011894,0.83508,65.618,18.8,43.572
2,2026-04-28T07:03:00,48.564,20.89,26.88,33.21,41.234,2705.9,3741.2,18.145,17.816,22.412,0.21069,0.0909,342.71,77.36,6.8309,13.849,31.609,4532.2,22.928,43.21,50.365,79.784,2.2414,1.6387,3101.6,42.302,54.346,94.385,9.37,61.65,39.173,41.033,2634.7,63.173,25.381,46.376,0.34668,8.8937,26.591,120.4,1.0659,75.804,24.145,2.321,53.131,4.9075,226.45,0.011894,0.83508,65.53,18.8,43.572
3,2026-04-28T07:06:00,49.935,29.075,26.719,33.497,40.768,2707.3,3692.8,18.32,17.744,22.279,0.30165,0.089995,341.95,77.18,6.952,13.837,32.167,4507.2,22.862,46.383,50.769,79.914,2.2284,1.6249,3103.6,42.44,53.908,94.62,9.3172,62.464,40.363,40.595,2635.6,63.222,24.936,46.466,0.33884,9.0771,26.462,120.39,1.1908,74.994,23.831,2.345,53.27,4.8643,226.45,0.0093283,0.84692,65.522,18.578,44.364
4,2026-04-28T07:09:00,49.464,29.41,26.893,33.497,41.167,2708.8,3678.9,19.929,17.744,22.441,0.29825,0.089995,342.32,77.163,6.952,13.837,32.167,4536.6,22.185,45.294,49.409,79.984,2.2284,1.6249,3104.0,42.396,53.557,94.498,9.3306,59.896,36.36,40.061,2637.1,63.462,23.327,46.528,0.34322,9.0771,26.462,120.39,1.1908,75.53,23.831,2.345,53.27,4.8643,225.59,0.0093283,0.84692,65.523,18.578,44.364
5,2026-04-28T07:12:00,49.888,24.322,27.139,33.211,40.92,2708.6,3630.7,17.042,17.89,22.832,0.24839,0.089995,342.52,77.359,7.1941,13.892,31.722,4513.3,23.399,46.275,50.383,79.918,2.2522,1.6401,3102.9,42.108,54.393,94.624,9.393,60.841,39.228,40.224,2636.4,63.22,26.615,46.418,0.33952,8.8915,26.968,120.39,1.1765,74.443,24.495,2.1373,53.27,4.8663,226.65,0.0093283,0.84692,65.53,18.881,44.364
6,2026-04-28T07:15:00,48.809,24.277,26.655,33.211,41.433,2710.6,3647.0,19.016,17.89,22.742,0.24886,0.089995,342.17,77.865,7.1941,13.892,31.722,4515.1,22.542,43.777,50.925,80.221,2.2522,1.6401,3106.1,42.206,54.371,94.602,9.3318,60.362,40.822,40.218,2640.0,62.94,24.276,46.168,0.33957,8.8915,26.968,120.41,1.1765,75.461,24.495,2.1373,53.27,4.8663,229.26,0.0093283,0.84692,65.549,18.881,44.364
7,2026-04-28T07:18:00,51.151,28.867,26.868,32.712,41.557,2713.9,3563.6,19.18,18.665,23.039,0.29331,0.089995,342.86,77.762,6.905,13.651,32.057,4525.8,22.463,49.198,50.041,80.449,2.2226,1.6343,3107.4,42.167,53.509,94.601,9.4653,60.743,38.222,41.18,2644.0,62.07,24.769,46.29,0.34422,8.7406,26.684,120.41,1.2415,75.177,23.9,2.3788,53.27,4.8357,227.64,0.0093283,0.84692,65.644,18.287,44.364
8,2026-04-28T07:21:00,49.133,28.856,26.624,32.712,40.776,2713.9,3562.1,17.892,18.665,22.501,0.29342,0.098128,343.43,77.082,6.905,13.651,32.057,4496.0,23.023,44.528,49.714,80.128,2.2226,1.6343,3108.8,42.019,53.866,94.921,9.4762,62.442,37.258,41.098,2643.4,62.096,23.385,46.807,0.34489,8.7406,26.684,120.37,1.2415,75.207,23.9,2.3788,53.874,4.8357,225.07,0.021713,0.82962,65.682,18.287,45.145
9,2026-04-28T07:24:00,48.047,25.965,26.825,33.219,41.006,2712.2,3652.4,19.601,18.344,22.763,0.26425,0.098128,343.64,76.879,7.0183,13.584,32.205,4586.7,22.326,42.015,48.265,79.723,2.2474,1.6911,3106.9,42.222,54.269,94.708,9.4509,59.451,32.995,37.644,2641.5,62.921,25.231,46.593,0.31969,8.8597,26.479,120.41,1.1247,75.373,24.344,2.3263,53.874,4.877,228.82,0.021713,0.82962,65.612,18.56,45.145
10,2026-04-28T07:27:00,49.98,25.944,27.251,33.219,40.742,2713.1,3651.2,15.135,18.344,23.118,0.26447,0.098128,343.92,77.23,7.0183,13.584,32.205,4522.8,24.209,46.488,50.71,79.527,2.2474,1.6911,3106.7,42.008,55.034,94.722,9.3961,60.739,40.188,38.006,2642.4,62.94,25.562,46.701,0.31673,8.8597,26.479,120.37,1.1247,75.169,24.344,2.3263,53.874,4.877,229.03,0.021713,0.82962,65.489,18.56,45.145
